model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,waveletfilter,selected_feature_list,feature_importances,selected_features
LRforcedPSO_75percent,70,6,amo2,slow,936.5,2005.5,0.6,85,65,65,9.948510213111657,0.39636264911198077,2535,False,"['65_lag_69_median_traIT', '65_lag_mhfIP30', '83_lag_traFS', '65_lag_wnorPRjfm', '65_lag_81_median_glomaSSTjfm', '67_lag_seurTSjfm']","[0.23699834224715927, 0.16583901265693116, 0.16583901265480652, 0.1658390126550127, 0.663356050618789, 0.16583901265474918]","65_lag_69_median_traIT, 65_lag_mhfIP30, 83_lag_traFS, 65_lag_wnorPRjfm, 65_lag_81_median_glomaSSTjfm, 67_lag_seurTSjfm_2535_65"
LRforcedPSO_75percent,71,6,amo2,slow,937.5,2005.5,0.6,86,66,66,9.972991206975987,0.2276163662997788,2535,False,"['66_lag_68_median_ismPRjja', '72_lag_yrvPRjja', '66_lag_77_median_nppc3SSTjfm', '79_lag_glTSjfm', '76_lag_glomaSSTjfm', '81_lag_glTSjfm']","[0.22840350926738534, 0.3060906754756598, 0.2794302568275056, 0.28610283401919373, 0.9136140370695374, 0.22840350926798322]","66_lag_68_median_ismPRjja, 72_lag_yrvPRjja, 66_lag_77_median_nppc3SSTjfm, 79_lag_glTSjfm, 76_lag_glomaSSTjfm, 81_lag_glTSjfm_2535_66"
LRforcedPSO_75percent,72,6,amo2,slow,938.5,2005.5,0.6,87,67,67,9.935563630148287,0.16387601260401624,2535,False,"['67_lag_77_median_shSICmar', '67_lag_tripol3', '67_lag_79_median_traDS', '83_lag_amoSSTmjjaso', '79_lag_traFS', '67_lag_77_median_traWP']","[0.5570457927424379, 0.2991989052221663, 0.571709498512981, 0.6226267880390287, 0.24946783954316068, 0.9978713581715323]","67_lag_77_median_shSICmar, 67_lag_tripol3, 67_lag_79_median_traDS, 83_lag_amoSSTmjjaso, 79_lag_traFS, 67_lag_77_median_traWP_2535_67"
LRforcedPSO_75percent,73,6,amo2,slow,939.5,2005.5,0.6,88,68,68,10.154266063083089,0.1997880868307686,2535,False,"['73_lag_mhfATL30', '68_lag_84_median_tripol1', '68_lag_69_median_traDP', '74_lag_eurPSLjfm', '73_lag_traFB', '68_lag_69_median_traDS']","[0.37229132981983015, 0.6063350551591292, 0.49205699643701284, 0.5438957185533683, 0.15158376379130992, 0.2193623848162825]","73_lag_mhfATL30, 68_lag_84_median_tripol1, 68_lag_69_median_traDP, 74_lag_eurPSLjfm, 73_lag_traFB, 68_lag_69_median_traDS_2535_68"
LRforcedPSO_75percent,74,6,amo2,slow,940.5,2005.5,0.6,89,69,69,10.076029309760568,0.21066686912219126,2535,False,"['69_lag_82_median_traBO', '69_lag_82_median_traDS', '73_lag_mhfATL30', '69_lag_86_median_tripol3', '86_lag_satlSSTjfm', '69_lag_83_median_shSICmar']","[0.25125696668123, 0.2512589535932939, 0.4736114558864398, 0.2674528866827919, 0.7403309986896154, 1.0050271831623832]","69_lag_82_median_traBO, 69_lag_82_median_traDS, 73_lag_mhfATL30, 69_lag_86_median_tripol3, 86_lag_satlSSTjfm, 69_lag_83_median_shSICmar_2535_69"
LRforcedPSO_75percent,75,6,amo2,slow,941.5,2005.5,0.6,90,70,70,10.001532727968243,0.0954431945952925,2535,False,"['70_lag_87_median_traEU', '70_lag_77_median_traEU', '72_lag_traEC', '84_lag_nppc3SSTjfm', '75_lag_shSICsep', '70_lag_82_median_amo3']","[1.1744783350462695, 0.7319459674058328, 0.8317818713155853, 0.974336037709098, 0.446952429463945, 0.293619586136829]","70_lag_87_median_traEU, 70_lag_77_median_traEU, 72_lag_traEC, 84_lag_nppc3SSTjfm, 75_lag_shSICsep, 70_lag_82_median_amo3_2535_70"
LRforcedPSO_75percent,76,6,amo2,slow,942.5,2005.5,0.6,91,71,71,9.94771866866708,0.12204015127784905,2535,False,"['88_lag_eurPSLjfm', '71_lag_76_median_ginwSSTjfm', '84_lag_shTSjfm', '86_lag_nhTSjfm', '80_lag_amoSSTmjjaso', '71_lag_74_median_traWP']","[0.19137225121535717, 0.6088207607391274, 0.5267910342551374, 0.710584995208632, 0.18251079418118077, 0.7300431766832378]","88_lag_eurPSLjfm, 71_lag_76_median_ginwSSTjfm, 84_lag_shTSjfm, 86_lag_nhTSjfm, 80_lag_amoSSTmjjaso, 71_lag_74_median_traWP_2535_71"
LRforcedPSO_75percent,77,6,amo2,slow,943.5,2005.5,0.6,92,72,72,9.99777400922057,-0.08514039378989037,2535,False,"['72_lag_74_median_AMOCann', '83_lag_ismPRjja', '72_lag_90_median_traBO', '72_lag_81_median_atlSICsep', '72_lag_81_median_samPSLann', '74_lag_traIFC']","[0.3358167739883582, 0.540304865346429, 0.3038412549344515, 0.6006231327862896, 0.6824398298465838, 0.5602045568080465]","72_lag_74_median_AMOCann, 83_lag_ismPRjja, 72_lag_90_median_traBO, 72_lag_81_median_atlSICsep, 72_lag_81_median_samPSLann, 74_lag_traIFC_2535_72"
LRforcedPSO_75percent,78,6,amo2,slow,944.5,2005.5,0.6,93,73,73,10.081250284434345,0.18529570587319794,2535,False,"['92_lag_shTSjfm', '83_lag_traTLS', '86_lag_alpi', '89_lag_glomaSSTjfm', '73_lag_80_median_neurTSjfm', '76_lag_nchinaPRjja']","[0.20654004954287106, 0.7313508804303976, 0.2065514067838449, 0.8261583287214554, 0.7601439273171786, 0.2065396823644744]","92_lag_shTSjfm, 83_lag_traTLS, 86_lag_alpi, 89_lag_glomaSSTjfm, 73_lag_80_median_neurTSjfm, 76_lag_nchinaPRjja_2535_73"
LRforcedPSO_75percent,79,6,amo2,slow,945.5,2005.5,0.6,94,74,74,10.075003895975632,0.05235456093380308,2535,False,"['88_lag_traIT', '74_lag_seurTSjfm', '86_lag_traBS', '74_lag_93_median_shSICsep', '86_lag_traDP', '77_lag_stratZ50ndj02']","[0.252410362941194, 0.303802534122837, 0.25241036293991126, 1.0096414517582786, 0.7656927379403007, 0.2524103629402273]","88_lag_traIT, 74_lag_seurTSjfm, 86_lag_traBS, 74_lag_93_median_shSICsep, 86_lag_traDP, 77_lag_stratZ50ndj02_2535_74"
LRforcedPSO_75percent,80,6,amo2,slow,946.5,2005.5,0.6,95,75,75,9.941340489926866,0.28839418378729437,2535,False,"['75_lag_84_median_glTSjfm', '75_lag_86_median_amo2', '91_lag_AMOCann', '85_lag_nhTSjfm', '76_lag_nhSICjfm', '87_lag_satlSSTjfm']","[0.4330202752554361, 0.2126998025361003, 0.2997216250184627, 0.2795185840950064, 0.29018103806899986, 0.8507992101433164]","75_lag_84_median_glTSjfm, 75_lag_86_median_amo2, 91_lag_AMOCann, 85_lag_nhTSjfm, 76_lag_nhSICjfm, 87_lag_satlSSTjfm_2535_75"
LRforcedPSO_75percent,81,6,amo2,slow,947.5,2005.5,0.6,96,76,76,10.021658595019238,-0.025472672308805164,2535,False,"['79_lag_traEU', '76_lag_91_median_eurPSLjfm', '76_lag_88_median_traDS', '76_lag_80_median_ormenSSTjfm', '76_lag_78_median_neurTSjfm', '95_lag_yrvPRjja']","[0.20514254904119875, 0.6120380138182607, 0.6018148192150748, 0.1817386802403988, 0.3763635408088996, 0.2999701470021525]","79_lag_traEU, 76_lag_91_median_eurPSLjfm, 76_lag_88_median_traDS, 76_lag_80_median_ormenSSTjfm, 76_lag_78_median_neurTSjfm, 95_lag_yrvPRjja_2535_76"
LRforcedPSO_75percent,82,6,amo2,slow,948.5,2005.5,0.6,97,77,77,10.310734894419769,0.11753012859878237,2535,False,"['89_lag_amo2', '86_lag_nppc3SSTjfm', '77_lag_83_median_eapPSLjfm', '77_lag_93_median_eurPSLjfm', '90_lag_traTLS', '77_lag_90_median_nhSICsep']","[0.3945420764557849, 0.6763300343708165, 0.26126161445723084, 0.6665428779465382, 0.32433951004027206, 0.7981221178882444]","89_lag_amo2, 86_lag_nppc3SSTjfm, 77_lag_83_median_eapPSLjfm, 77_lag_93_median_eurPSLjfm, 90_lag_traTLS, 77_lag_90_median_nhSICsep_2535_77"
LRforcedPSO_75percent,83,6,amo2,slow,949.5,2005.5,0.6,98,78,78,9.983655315852166,0.13008274932909403,2535,False,"['78_lag_83_median_traDP', '78_lag_91_median_traEU', '82_lag_scpPSLjfm', '78_lag_92_median_traDS', '85_lag_traDS', '78_lag_80_median_ismPRjja']","[0.23224456953123485, 0.854159176745937, 0.2856011247479824, 0.9289782781192663, 0.23224456952984895, 0.2322445695299857]","78_lag_83_median_traDP, 78_lag_91_median_traEU, 82_lag_scpPSLjfm, 78_lag_92_median_traDS, 85_lag_traDS, 78_lag_80_median_ismPRjja_2535_78"
LRforcedPSO_75percent,84,6,amo2,slow,950.5,2005.5,0.6,99,79,79,9.994295636916512,0.20657208234876567,2535,False,"['96_lag_ormenSSTjfm', '89_lag_traDP', '79_lag_85_median_mhfATL45', '79_lag_83_median_nhTSjfm', '92_lag_wnorPRjfm', '79_lag_95_median_amoSSTmjjaso']","[0.5869059145753194, 0.5001002676352245, 0.14672647906409306, 0.5015691376769263, 0.15669210644032583, 0.14672648482377187]","96_lag_ormenSSTjfm, 89_lag_traDP, 79_lag_85_median_mhfATL45, 79_lag_83_median_nhTSjfm, 92_lag_wnorPRjfm, 79_lag_95_median_amoSSTmjjaso_2535_79"
LRforcedPSO_75percent,85,6,amo2,slow,951.5,2005.5,0.6,100,80,80,10.037778684736594,0.07216368161544545,2535,False,"['80_lag_81_median_nppc2SSTjfm', '87_lag_traBO', '80_lag_91_median_ormenSSTjfm', '98_lag_nhSICsep', '80_lag_90_median_traIFC', '80_lag_90_median_cetTSjfm']","[0.36770650596136967, 0.09570544020975631, 0.38282176083808805, 0.11161977452012223, 0.3468493789909366, 0.10539557189779052]","80_lag_81_median_nppc2SSTjfm, 87_lag_traBO, 80_lag_91_median_ormenSSTjfm, 98_lag_nhSICsep, 80_lag_90_median_traIFC, 80_lag_90_median_cetTSjfm_2535_80"
