model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,waveletfilter,selected_feature_list,feature_importances,selected_features
LRDropoutPSO_50percent,58,6,amo3,slow,924.5,2005.5,0.8,73,53,53,17.365776411379898,-0.15875172123424153,2535,False,"['71_lag_traTLS', '53_lag_62_median_traFS', '64_lag_tripol1', '53_lag_72_median_mhfATL45', '61_lag_traMC', '53_lag_56_median_mhfIP30']","[0.4732345754230153, 0.4707868795863624, 0.47078661867741234, 0.47078684899072043, 0.8531394063282208, 0.9415725514156555]","71_lag_traTLS, 53_lag_62_median_traFS, 64_lag_tripol1, 53_lag_72_median_mhfATL45, 61_lag_traMC, 53_lag_56_median_mhfIP30_2535_53"
LRDropoutPSO_50percent,59,6,amo3,slow,925.5,2005.5,0.8,74,54,54,17.385826652324855,-0.01424593667386849,2535,False,"['67_lag_tripol2', '61_lag_amo1', '72_lag_glomaSSTjfm', '54_lag_71_median_mhfATL60', '69_lag_shSICmar', '66_lag_arcTSjfm']","[0.5174141351055723, 0.4670450272660524, 0.6582222270526317, 0.5442469273686198, 0.4500537682708536, 0.9001055508918591]","67_lag_tripol2, 61_lag_amo1, 72_lag_glomaSSTjfm, 54_lag_71_median_mhfATL60, 69_lag_shSICmar, 66_lag_arcTSjfm_2535_54"
LRDropoutPSO_50percent,60,6,amo3,slow,926.5,2005.5,0.8,75,55,55,17.5251969518887,-0.29997241138505987,2535,False,"['55_lag_59_median_atlSICsep', '64_lag_AMOCann', '59_lag_traFS', '68_lag_traBO', '55_lag_74_median_labSSTjfm', '71_lag_traEU']","[0.3374366817722513, 0.39364935976030774, 0.5942339757827616, 0.42624608374041983, 0.6058704755081219, 0.30298930737734164]","55_lag_59_median_atlSICsep, 64_lag_AMOCann, 59_lag_traFS, 68_lag_traBO, 55_lag_74_median_labSSTjfm, 71_lag_traEU_2535_55"
LRDropoutPSO_50percent,61,6,amo3,slow,927.5,2005.5,0.8,76,56,56,17.115703607187747,0.07192635666945278,2535,False,"['56_lag_62_median_satlSSTjfm', '61_lag_ensoSSTjfm', '56_lag_70_median_traDS', '56_lag_glTSjfm', '67_lag_amo3', '56_lag_62_median_traMC']","[0.6304290445540346, 0.6304290628559374, 0.6304290451307966, 0.6304290393348859, 1.2608580088486407, 1.2608580741486324]","56_lag_62_median_satlSSTjfm, 61_lag_ensoSSTjfm, 56_lag_70_median_traDS, 56_lag_glTSjfm, 67_lag_amo3, 56_lag_62_median_traMC_2535_56"
LRDropoutPSO_50percent,62,6,amo3,slow,928.5,2005.5,0.8,77,57,57,17.86977828132495,-0.25369761269595875,2535,False,"['57_lag_69_median_stratZ50ndj01', '71_lag_traIFC', '58_lag_tripol1', '71_lag_seurTSjfm', '57_lag_63_median_AMOCann', '71_lag_shTSjfm']","[1.3319320795666794, 0.8904036149430777, 0.6659660404807881, 0.6659660397859848, 1.3319320790140532, 0.6659660397838698]","57_lag_69_median_stratZ50ndj01, 71_lag_traIFC, 58_lag_tripol1, 71_lag_seurTSjfm, 57_lag_63_median_AMOCann, 71_lag_shTSjfm_2535_57"
LRDropoutPSO_50percent,63,6,amo3,slow,929.5,2005.5,0.8,78,58,58,17.423247863852843,-0.033804356383258606,2535,False,"['63_lag_tripol3', '58_lag_77_median_alpi', '76_lag_tripol2', '58_lag_63_median_traCA', '76_lag_traFSC', '58_lag_74_median_ormenSSTjfm']","[0.25777714375571886, 0.2609384671971435, 0.4565714307872809, 0.515523544891552, 0.2577618183848551, 0.25776178284821744]","63_lag_tripol3, 58_lag_77_median_alpi, 76_lag_tripol2, 58_lag_63_median_traCA, 76_lag_traFSC, 58_lag_74_median_ormenSSTjfm_2535_58"
LRDropoutPSO_50percent,64,6,amo3,slow,930.5,2005.5,0.8,79,59,59,17.01231284856365,0.29072064526299773,2535,False,"['74_lag_ginwSSTjfm', '59_lag_63_median_traBO', '76_lag_tripol3', '69_lag_labSSTjfm', '61_lag_naoPSLjfm', '75_lag_atlSICsep']","[0.49549504737402444, 0.4954950482065239, 0.4954950474969479, 0.9909900946154455, 0.4954950473448936, 0.9627456526484033]","74_lag_ginwSSTjfm, 59_lag_63_median_traBO, 76_lag_tripol3, 69_lag_labSSTjfm, 61_lag_naoPSLjfm, 75_lag_atlSICsep_2535_59"
LRDropoutPSO_50percent,65,6,amo3,slow,931.5,2005.5,0.8,80,60,60,17.49755277066763,-0.06455433626476532,2535,False,"['74_lag_traFS', '69_lag_arcTSjfm', '68_lag_traCA', '69_lag_ginwSSTjfm', '60_lag_77_median_eurPSLjfm', '70_lag_amo2']","[1.0076956876368146, 0.5038478438191698, 0.5523436694619662, 0.5038478438193391, 0.527386973309528, 0.5468574116782058]","74_lag_traFS, 69_lag_arcTSjfm, 68_lag_traCA, 69_lag_ginwSSTjfm, 60_lag_77_median_eurPSLjfm, 70_lag_amo2_2535_60"
LRDropoutPSO_50percent,66,6,amo3,slow,932.5,2005.5,0.8,81,61,61,17.260311615309575,0.07478253828164552,2535,False,"['61_lag_79_median_traCA', '72_lag_nchinaPRjja', '64_lag_amoSSTmjjaso', '61_lag_AMOCann', '72_lag_glomaSSTjfm', '65_lag_atlSICsep']","[0.9342566209101547, 0.7472752773221861, 0.467128312844041, 0.934256622256764, 0.4671283113077784, 0.4671283112817091]","61_lag_79_median_traCA, 72_lag_nchinaPRjja, 64_lag_amoSSTmjjaso, 61_lag_AMOCann, 72_lag_glomaSSTjfm, 65_lag_atlSICsep_2535_61"
LRDropoutPSO_50percent,67,6,amo3,slow,933.5,2005.5,0.8,82,62,62,17.591066226803843,-0.06163759994971023,2535,False,"['80_lag_traFS', '70_lag_shSICmar', '68_lag_atlSICsep', '62_lag_63_median_glTSjfm', '72_lag_labSSTjfm', '80_lag_glTSjfm']","[0.5712354221251137, 0.5709988806075124, 0.5708481480484509, 0.5709362887680954, 1.1415599752822718, 0.7132889566076288]","80_lag_traFS, 70_lag_shSICmar, 68_lag_atlSICsep, 62_lag_63_median_glTSjfm, 72_lag_labSSTjfm, 80_lag_glTSjfm_2535_62"
LRDropoutPSO_50percent,68,6,amo3,slow,934.5,2005.5,0.8,83,63,63,16.909051514890248,0.3780055477344629,2535,False,"['67_lag_shSICsep', '77_lag_nhSICjfm', '75_lag_labSSTjfm', '63_lag_79_median_nhSICjfm', '63_lag_69_median_amo1', '63_lag_81_median_scpPSLjfm']","[1.323308744259591, 0.6616543732225274, 0.6616543721432597, 0.8565361268220073, 0.6616543722892978, 1.0674245090731564]","67_lag_shSICsep, 77_lag_nhSICjfm, 75_lag_labSSTjfm, 63_lag_79_median_nhSICjfm, 63_lag_69_median_amo1, 63_lag_81_median_scpPSLjfm_2535_63"
LRDropoutPSO_50percent,69,6,amo3,slow,935.5,2005.5,0.8,84,64,64,17.853105784379697,-0.08975251620484599,2535,False,"['64_lag_stratZ50ndj03', '75_lag_mhfATL60', '64_lag_67_median_glTSjfm', '64_lag_76_median_nchinaPRjja', '64_lag_72_median_amo3', '64_lag_68_median_ormenSSTjfm']","[1.1274354633806487, 1.1274140475581176, 2.096963999795468, 1.4331021783287565, 2.2548270766186125, 1.321839573088089]","64_lag_stratZ50ndj03, 75_lag_mhfATL60, 64_lag_67_median_glTSjfm, 64_lag_76_median_nchinaPRjja, 64_lag_72_median_amo3, 64_lag_68_median_ormenSSTjfm_2535_64"
LRDropoutPSO_50percent,70,6,amo3,slow,936.5,2005.5,0.8,85,65,65,17.537139822718924,-0.2244872907008292,2535,False,"['65_lag_shSICmar', '68_lag_pdoSSTjfm', '65_lag_83_median_nppc2SSTjfm', '82_lag_wnorPRjfm', '68_lag_ensoSSTjfm', '65_lag_arcTSjfm']","[0.6807928739467713, 0.340682265362524, 0.340865569160974, 0.4220536939272271, 0.5257122144842824, 0.6729357357422624]","65_lag_shSICmar, 68_lag_pdoSSTjfm, 65_lag_83_median_nppc2SSTjfm, 82_lag_wnorPRjfm, 68_lag_ensoSSTjfm, 65_lag_arcTSjfm_2535_65"
LRDropoutPSO_50percent,71,6,amo3,slow,937.5,2005.5,0.8,86,66,66,17.363026809418443,0.03276942746802532,2535,False,"['66_lag_81_median_amo1', '66_lag_74_median_eurPSLjfm', '66_lag_68_median_arcTSjfm', '66_lag_67_median_nhSICjfm', '70_lag_traEC', '68_lag_amo1']","[0.7709202815795689, 0.385506473550876, 0.7703574834585237, 0.38557739290130416, 0.6526747750656363, 0.3909954640284261]","66_lag_81_median_amo1, 66_lag_74_median_eurPSLjfm, 66_lag_68_median_arcTSjfm, 66_lag_67_median_nhSICjfm, 70_lag_traEC, 68_lag_amo1_2535_66"
LRDropoutPSO_50percent,72,6,amo3,slow,938.5,2005.5,0.8,87,67,67,16.748961807386586,0.35266748722139074,2535,False,"['79_lag_ginwSSTjfm', '67_lag_85_median_shTSjfm', '78_lag_nppc3SSTjfm', '73_lag_ismPRjja', '72_lag_seurTSjfm', '67_lag_73_median_eapPSLjfm']","[1.0839321401537796, 0.5419901371264578, 1.0839637860351332, 0.5422241509214907, 0.6912434395905819, 0.9840219839772606]","79_lag_ginwSSTjfm, 67_lag_85_median_shTSjfm, 78_lag_nppc3SSTjfm, 73_lag_ismPRjja, 72_lag_seurTSjfm, 67_lag_73_median_eapPSLjfm_2535_67"
