Time,glTSjfm,nhTSjfm,shTSjfm,cetTSjfm,amoSSTjfm,satlSSTjfm,ensoSSTjfm,neurTSjfm,seurTSjfm,arcTSjfm,nhSICjfm,nhSICsep,shSICmar,shSICsep,nchinaPRjja,yrvPRjja,ismPRjja,wnorPRjfm,naoPSLjfm,eapPSLjfm,scpPSLjfm,eurPSLjfm,solFORC,samPSLann,atlSICjfm,atlSICsep,pdoSSTjfm,nppc2SSTjfm,nppc3SSTjfm,AMOCann,traBO,traBS,traCA,traDS,traDP,traEC,traEU,traFSC,traFB,traFS,traIFC,traIT,traMC,traTLS,traWP,alpi,mhfATL30,mhfATL45,mhfATL60,mhfIP30,tripol1,tripol2,tripol3,amo1,amo2,amo3,labSSTjfm,ormenSSTjfm,gyreSSTjfm,ginwSSTjfm,glomaSSTjfm,amoSSTmjjaso,stratZ50ndj01,stratZ50ndj02,stratZ50ndj03,stratZ50ndj04
851.5,13.7926588058472,10.3606691360474,17.2246513366699,6.39664030075073,20.3336167458312,19.6750040296321,26.962032860514,0.361187517642975,9.83450794219971,-22.2032604217529,12108880,5423290.5,4175089.25,14354758,4.83944225311279,6.59666585922241,6.14070558547974,3.71137404441833,-4980.931,-220.0617,-4453.928,-715.5507,1359.813,-7.36029052734375,3695667,1365678.75,-13.4292115768048,11.7659646208249,3.12132116523808,24.004203004539,2.61910199029158,1.40263027853835,-1.7686031076565,-2.80425038436453,115.895201882878,0.0862880141098176,12.2753801785744,-1.55841203919745,14.9198497288971,-2.22939742878836,4.67944085106867,-18.8301500417112,-27.9157482900505,-2.29237224636482,8.39591316208555,1305335.49872904,1.22187700421064e+15,770141007411970,456937107677680,607812841688634,16.7176697559716,27.1347375560204,22.9552144731997,25.8826021476069,21.7354909178742,9.8168739699181,3.78322720375778,5.35839879818406,7.04370102064821,-1.24183159955644,18.7531820273783,22.7597850209815,NaN,NaN,NaN,NaN
852.5,13.7041168212891,10.3254823684692,17.0827789306641,6.55235195159912,20.2807807978264,19.8658057367685,26.9386205256652,1.3457179069519,9.92281055450439,-21.2276725769043,12034149,4688790,4187898,15075662,7.3387598991394,4.16132068634033,8.18887138366699,3.69761228561401,-7859.745,-173.233,2801.101,2729.753,1359.816,-5.423095703125,3801799.25,1472763.5,-2.74993918294543,10.67360348579,9.01903912917526,24.1440470240735,2.68816137476456,1.35879800923487,-1.69106978556446,-2.7148517480131,118.560561224046,0.0941476240974308,11.3325795819621,-1.40612167604216,15.1934550488228,-2.35139418060949,4.36162492417572,-18.9808907658728,-27.6853288076162,-2.9379423547055,8.52249186799834,5437557.52762997,1.24008477345268e+15,844665608728201,473658944876886,411227136525080,16.6907733684463,27.0642687521121,23.154825694276,25.6650149300829,21.7797767262667,9.82862395747781,3.7222111377424,5.66733069292277,6.99061612987584,-1.25217252229643,18.7375671289367,22.7569785381913,-954.7092,1132.432,-1159.36,706.8575
853.5,13.5722494125366,10.0818252563477,17.0626850128174,4.70881175994873,20.3536737006262,19.6941752126863,26.9656523487863,-3.21883654594421,9.68099117279053,-22.7523708343506,12263800,5429033,4202581.5,16028628,5.70615577697754,4.40747547149658,8.12441444396973,2.47980546951294,13610.44,41.31114,4073.703,2476.204,1359.819,-4.95733642578125,3836788,1481440.75,-2.49380516684652,12.987051456952,5.07378285502162,23.7781140947367,2.41214359018365,1.25560099252967,-1.28791144729055,-2.83533568354978,116.046348438946,0.0955699709286859,12.0434646875996,-1.46242055959292,15.3324562154902,-2.39230592099431,4.21492749394768,-19.2438906715378,-27.9938657345908,-3.04499812863048,8.69774322443623,3077477.78383492,1.17729005528732e+15,848332135550528,476884836486541,590754632705978,16.5119234745792,27.0793635486776,22.9308199824647,25.8586194485505,21.6046047792417,10.0067742360752,3.95980714981959,5.16065606607842,7.78257459665362,-1.63094299369774,18.7146377390493,22.6199341719231,-3340.123,605.7414,-379.3452,37.05755
854.5,13.4832611083984,10.0093030929565,16.9571990966797,6.00527620315552,20.1349012703232,19.4061673029412,27.3020148978977,0.871168255805969,10.3757810592651,-23.4243965148926,12305200,5712671,3992414.5,16235590,4.95488214492798,6.24374961853027,7.1034517288208,3.14536762237549,-1507.046,7142.375,338.5214,2459.596,1359.826,-6.46875,3771512,1368923.5,-5.94314153340939,-0.713786988408047,15.1828817889862,23.9235068621806,2.78911255474355,1.33459224825096,-1.46697793265847,-3.13005515523135,115.709443787559,0.0980839189795976,20.0727435405396,-1.66683312804873,15.2643033075799,-2.66397187676533,4.82222609335592,-16.1694005514453,-28.4027684504121,-3.51074126844094,8.25653797275646,1586359.3429761,1.20878798658881e+15,804638584328440,476098491562163,590232177883014,16.6737558279197,27.1593862225338,22.8158067822612,25.5020649613807,21.6177547739183,9.70515581611005,3.67668642010081,5.1494017971457,7.20286049480779,-1.3479159663839,18.5737795236058,22.5961716247318,-1001.281,99.65209,-714.6602,3396.239
855.5,13.5572090148926,10.1569671630859,16.9574375152588,3.28453922271729,20.4893332681468,19.4588223172111,27.8419986901509,-4.26840782165527,8.73803520202637,-22.2548751831055,12600083,5544551,4718584,16954818,5.68614721298218,4.70573759078979,7.06308174133301,2.05140948295593,17177.49,-855.4789,9262.74,-95.83688,1359.839,-3.00189208984375,3919577,1488686,8.24619841255212,4.69287938938067,2.65930140195857,24.282807633487,2.03448328804413,1.34850119185677,-1.23874861020333,-3.12291139325144,120.076788133006,0.0873759947673635,19.7188808135967,-1.08889148558355,15.7329994576361,-2.12424851501839,4.04034663301746,-16.3108505926165,-28.0047615342949,-3.61647497923644,9.37212344772707,13515139.4623751,1.23799088179943e+15,866693109190936,482213738037426,213774409360044,16.1768427119185,27.6839880344373,22.6777168890395,25.9943661030828,21.7131832321296,10.0384106541862,3.93751357253704,5.42552739082014,7.94548404118439,-1.38500822531308,18.6017544150129,22.8383042610413,-2185.409,538.0804,1550.545,388.5514
856.5,13.7000532150269,10.2456741333008,17.1544094085693,6.26451969146729,20.2392840672464,19.6974397321065,27.3125709344634,1.51813101768494,9.54832172393799,-21.751256942749,12399334,5777742.5,3646213,16137688,5.4696307182312,4.33460140228271,8.71842288970947,3.83986377716064,-4815.947,2294.765,-2635.884,120.5324,1359.856,-7.12664794921875,3859740,1469114,32.2994016126802,20.6354030544491,5.39713750706695,24.5564639476538,2.66631882882193,1.17746977814443,-1.87885115403609,-3.43012988674689,118.18348344074,0.113328998857059,21.5739582026042,-1.33819834850372,15.6594959159255,-1.9598692763475,5.37148433229096,-19.3263811953046,-28.399490778485,-1.99800360486959,9.54637665546773,9738494.6204135,1.27190933674652e+15,773660853856738,532530625329788,537922538869803,15.7857961247328,27.391445002229,22.9250639238711,25.6770136354329,21.6595796138146,9.84349043486301,3.50919167816178,6.02943810186623,7.38228708128953,-0.833583204912915,18.7113357185538,22.7925421618556,-2790.32,-76.57476,51.04292,486.7617
857.5,13.6692724227905,10.297474861145,17.0410671234131,6.76855421066284,20.1956081640576,19.5179491425931,27.3831597309334,0.894513249397278,10.0341196060181,-22.5185222625732,12294786,6049006,4259648,16179358,3.71634793281555,4.03750085830688,6.50295114517212,3.51701354980469,-1992.222,2455.45,-2605.869,-2369.725,1359.875,-6.04571533203125,3813332.5,1359384.75,-0.582901371082477,10.759175520227,3.17495388247281,23.5907089747878,2.87468888898198,1.38464783349439,-2.16037855785837,-3.67944270711304,118.06895539973,0.0934720892678327,12.371395456613,-1.05929858759491,15.6412728170822,-2.12085975996775,5.38681937412245,-19.7211981435738,-30.5091566578957,-3.77294272510271,8.49812739221545,0,1.17754823189332e+15,765029133834169,530911230986247,661828843106003,16.3664484352685,27.4739676462789,23.0900900060372,25.6743522952751,21.7861421372097,9.61938997285793,3.67602702239975,6.43868635415032,6.91366628154951,-1.26361975101364,18.7307996323189,22.6100436071346,-613.9118,-344.2348,1326.601,1730.373
858.5,13.6924676895142,10.2696256637573,17.1152877807617,5.29657030105591,20.0921965451424,19.2849764582646,27.8929449140378,-3.07988715171814,9.37150001525879,-21.5185050964355,12347718,4830975,3741363.75,16203978,5.92743873596191,5.60458898544312,7.09274530410767,2.45098400115967,9176.496,1266.312,-599.7651,-2818.198,1359.895,-5.18341064453125,3867153.25,1511368.625,3.50274544001494,16.0501309409796,8.61160323919085,23.8936738682144,2.50469390133858,1.33851546779433,-1.54717828404412,-2.24300019963797,119.067767138419,0.101575870778564,19.1005462686677,-2.14421994146122,15.8876079161554,-2.3007415414755,4.48449145837516,-17.0334136812046,-29.4933019501064,-4.76562174254936,9.1180992975507,10556684.9827828,1.18186749469254e+15,777517700545174,489341304986782,462270540507404,16.3446814251032,27.8037698680468,22.5801813294195,25.6386025871304,21.6760449206821,9.46470039781819,3.64351165998706,6.64283884430287,6.85818762864064,-0.425324311469183,18.7331091865194,22.7012289372811,-2046.435,-920.7661,-316.285,564.2406
859.5,13.7912540435791,10.3653631210327,17.217170715332,5.29583549499512,20.1158938877549,19.6898735394463,28.1203055053099,0.879305899143219,8.71213817596436,-21.2798862457275,12181819,5145701,3692138,16370201,6.96057987213135,4.18503379821777,9.3034553527832,2.76630091667175,1163.953,-4454.372,-3426.698,-230.0843,1359.912,-4.95013427734375,3853224.5,1396262.875,17.897566859751,10.7149517743758,10.7157939707512,24.6181330356155,2.59054133026278,1.29666148818101,-1.6241648292689,-2.70886881361312,119.087397401927,0.0876404431747514,17.4582772844859,-1.83475124080203,15.3709684325289,-2.25519225851591,4.79707379930184,-18.102712415973,-26.8897827473881,-2.44778769398441,10.0031261870401,11866888.6263585,1.23699052280868e+15,783788853573536,447634441297593,429734321874366,16.1480583410874,27.930220794461,22.8862878764929,25.642987204231,21.5616490178307,9.58773581074272,3.75529654930328,5.91878140500901,6.79299610851964,-1.43871675739164,18.8313996423659,22.4290514649499,1743.195,-464.6322,-432.9199,711.9504
860.5,13.6886529922485,10.2606544494629,17.1166725158691,5.751136302948,20.0825355440266,19.5860499754886,26.7961767739529,0.0464294031262398,8.91718101501465,-22.275857925415,12098180,5641213,3288869,16703606,4.6771411895752,4.65920305252075,8.50560855865479,2.99086093902588,-4268.307,-2706.576,1593.517,937.5468,1359.928,-6.515625,3647111.75,1447131.125,17.6358015088035,-0.246280426277144,17.1468363839074,24.2512769412085,2.85405785457454,1.276556834421,-1.87966160543855,-2.63780512357953,116.815337500856,0.0882413433074813,13.8234157147651,-1.43668247176756,15.8439384840713,-2.25250848974978,4.58794509305362,-20.0946278951267,-26.0355786355355,-0.635142637338639,9.77645446645435,0,1.22412902381789e+15,829236884115971,465150354868512,585221563407725,16.2156772584894,26.9443870749258,23.0035284799988,25.44089488482,21.4851032150885,9.76703163691057,3.78793616937157,5.22573658434789,7.17491811784821,-1.29726762441596,18.6593095008851,22.5346447860964,-4058.877,1074.243,-1592.558,2086.97
