model,num_irrelevant,max_allowed_features,target_feature,dataset,year_start,year_end,splitsize,max_lag,init_lag,max_forecast,mae_score,corr_score,n_total_features,waveletfilter,selected_feature_list,feature_importances,selected_features
LRforcedPSO_75percent,10,6,amo1,shigh,876.5,2005.5,0.8,25,15,15,14.278163957286804,0.3727179058117097,418,False,"['19_lag_eurPSLjfm', '15_lag_23_median_nppc2SSTjfm', '16_lag_shSICsep', '15_lag_23_median_eapPSLjfm', '24_lag_shSICmar', '15_lag_19_median_stratZ50ndj03']","[0.565427821335094, 1.2306290744896518, 0.4833359738893731, 0.9508485590077592, 1.9333438955501785, 0.7255426722038673]","19_lag_eurPSLjfm, 15_lag_23_median_nppc2SSTjfm, 16_lag_shSICsep, 15_lag_23_median_eapPSLjfm, 24_lag_shSICmar, 15_lag_19_median_stratZ50ndj03_418_15"
LRforcedPSO_75percent,11,6,amo1,shigh,877.5,2005.5,0.8,26,16,16,13.361869299911522,0.46632541864333105,418,False,"['16_lag_24_median_naoPSLjfm', '20_lag_scpPSLjfm', '16_lag_21_median_naoPSLjfm', '16_lag_23_median_atlSICjfm', '16_lag_17_median_stratZ50ndj04', '16_lag_22_median_nhSICjfm']","[0.2749243346341027, 0.27488210294894105, 0.7291447761795965, 1.0995101423452065, 1.0995212142119977, 0.9406133734081599]","16_lag_24_median_naoPSLjfm, 20_lag_scpPSLjfm, 16_lag_21_median_naoPSLjfm, 16_lag_23_median_atlSICjfm, 16_lag_17_median_stratZ50ndj04, 16_lag_22_median_nhSICjfm_418_16"
LRforcedPSO_75percent,12,6,amo1,shigh,878.5,2005.5,0.8,27,17,17,13.465025981194424,0.1569796724582241,418,False,"['20_lag_amoSSTjfm', '17_lag_19_median_atlSICsep', '17_lag_26_median_stratZ50ndj03', '17_lag_26_median_shSICsep', '23_lag_amo3', '18_lag_solFORC']","[0.6842990340808277, 0.825853267104156, 0.6842814440667545, 1.0115756274530876, 0.6843450551121975, 2.7370950095930797]","20_lag_amoSSTjfm, 17_lag_19_median_atlSICsep, 17_lag_26_median_stratZ50ndj03, 17_lag_26_median_shSICsep, 23_lag_amo3, 18_lag_solFORC_418_17"
LRforcedPSO_75percent,13,6,amo1,shigh,879.5,2005.5,0.8,28,18,18,12.527603677305958,0.553985642235868,418,False,"['18_lag_20_median_amoSSTmjjaso', '18_lag_24_median_amo3', '18_lag_25_median_atlSICsep', '18_lag_22_median_amo1', '24_lag_amoSSTjfm', '21_lag_atlSICjfm']","[1.096875176756267, 0.5789747646207704, 0.3087108417011487, 0.8573278966502719, 1.2348433667160497, 0.6863334671929345]","18_lag_20_median_amoSSTmjjaso, 18_lag_24_median_amo3, 18_lag_25_median_atlSICsep, 18_lag_22_median_amo1, 24_lag_amoSSTjfm, 21_lag_atlSICjfm_418_18"
LRforcedPSO_75percent,14,6,amo1,shigh,880.5,2005.5,0.8,29,19,19,13.563032955687886,0.4954778950562606,418,False,"['19_lag_21_median_naoPSLjfm', '19_lag_20_median_stratZ50ndj02', '24_lag_amoSSTmjjaso', '22_lag_amo2', '19_lag_26_median_shSICsep', '19_lag_21_median_shSICsep']","[0.27641684185517074, 0.2764167232744919, 0.9603172478130411, 1.0212056656349406, 0.2764172977728837, 1.1056668175703661]","19_lag_21_median_naoPSLjfm, 19_lag_20_median_stratZ50ndj02, 24_lag_amoSSTmjjaso, 22_lag_amo2, 19_lag_26_median_shSICsep, 19_lag_21_median_shSICsep_418_19"
LRforcedPSO_75percent,15,6,amo1,shigh,881.5,2005.5,0.8,30,20,20,14.02568426670282,0.014854412678403539,418,False,"['20_lag_22_median_eurPSLjfm', '29_lag_eurPSLjfm', '24_lag_solFORC', '20_lag_21_median_stratZ50ndj02', '20_lag_24_median_shSICmar', '20_lag_22_median_amo2']","[0.7183282622633297, 0.718293522599986, 2.8731740884178327, 0.7183022747419547, 2.484961606127093, 0.7973185090129128]","20_lag_22_median_eurPSLjfm, 29_lag_eurPSLjfm, 24_lag_solFORC, 20_lag_21_median_stratZ50ndj02, 20_lag_24_median_shSICmar, 20_lag_22_median_amo2_418_20"
LRforcedPSO_75percent,16,6,amo1,shigh,882.5,2005.5,0.8,31,21,21,12.95781678991763,0.30412874637452303,418,False,"['29_lag_AMOCann', '21_lag_24_median_solFORC', '21_lag_27_median_eurPSLjfm', '28_lag_amo3', '21_lag_25_median_amoSSTmjjaso', '21_lag_naoPSLjfm']","[0.5443296192969446, 2.1773184771877654, 0.5443296192969441, 0.616801331485271, 0.5443296192970066, 0.5443296192970247]","29_lag_AMOCann, 21_lag_24_median_solFORC, 21_lag_27_median_eurPSLjfm, 28_lag_amo3, 21_lag_25_median_amoSSTmjjaso, 21_lag_naoPSLjfm_418_21"
LRforcedPSO_75percent,17,6,amo1,shigh,883.5,2005.5,0.8,32,22,22,13.221900063253177,0.06578240592239266,418,False,"['23_lag_solFORC', '24_lag_stratZ50ndj02', '22_lag_27_median_scpPSLjfm', '27_lag_amoSSTmjjaso', '22_lag_29_median_stratZ50ndj02', '31_lag_atlSICjfm']","[2.608139826003931, 0.7451373893388856, 0.6520349565010324, 0.6520349565009872, 0.6520349565011464, 0.6520349565010927]","23_lag_solFORC, 24_lag_stratZ50ndj02, 22_lag_27_median_scpPSLjfm, 27_lag_amoSSTmjjaso, 22_lag_29_median_stratZ50ndj02, 31_lag_atlSICjfm_418_22"
LRforcedPSO_75percent,18,6,amo1,shigh,884.5,2005.5,0.8,33,23,23,12.7922862500106,0.43981918247756063,418,False,"['30_lag_stratZ50ndj02', '23_lag_29_median_amo3', '24_lag_amo3', '28_lag_solFORC', '32_lag_nhSICsep', '23_lag_31_median_amoSSTjfm']","[0.4774539613208106, 1.1047040008043383, 0.47745396132102097, 1.4718612345109092, 0.477453961320923, 1.909815845282064]","30_lag_stratZ50ndj02, 23_lag_29_median_amo3, 24_lag_amo3, 28_lag_solFORC, 32_lag_nhSICsep, 23_lag_31_median_amoSSTjfm_418_23"
LRforcedPSO_75percent,19,6,amo1,shigh,885.5,2005.5,0.8,34,24,24,13.271944559264119,0.5045843972700748,418,False,"['30_lag_stratZ50ndj04', '27_lag_stratZ50ndj04', '25_lag_amo2', '29_lag_amo1', '27_lag_shSICmar', '24_lag_32_median_naoPSLjfm']","[0.4253792396870741, 0.8316759446672543, 0.9927973118335779, 0.8602350949933173, 1.065839989672066, 0.26645999741811555]","30_lag_stratZ50ndj04, 27_lag_stratZ50ndj04, 25_lag_amo2, 29_lag_amo1, 27_lag_shSICmar, 24_lag_32_median_naoPSLjfm_418_24"
LRforcedPSO_75percent,20,6,amo1,shigh,886.5,2005.5,0.8,35,25,25,13.242447539021365,0.5393594754774352,418,False,"['31_lag_atlSICsep', '25_lag_26_median_shSICsep', '27_lag_amo3', '30_lag_nhSICjfm', '25_lag_29_median_amo3', '25_lag_32_median_amoSSTmjjaso']","[0.47717411894233486, 0.4771810604733053, 0.5312942731246777, 0.4771980025921629, 0.9223058248134903, 1.9086561626137268]","31_lag_atlSICsep, 25_lag_26_median_shSICsep, 27_lag_amo3, 30_lag_nhSICjfm, 25_lag_29_median_amo3, 25_lag_32_median_amoSSTmjjaso_418_25"
LRforcedPSO_75percent,21,6,amo1,shigh,887.5,2005.5,0.8,36,26,26,13.571664153285175,0.13117780004362395,418,False,"['26_lag_30_median_atlSICsep', '33_lag_solFORC', '35_lag_atlSICjfm', '26_lag_32_median_scpPSLjfm', '32_lag_naoPSLjfm', '28_lag_nhSICsep']","[0.4590371254788742, 1.7749790319670955, 0.5398515414826214, 0.7061537567669381, 0.5248872952515554, 0.9060653147041405]","26_lag_30_median_atlSICsep, 33_lag_solFORC, 35_lag_atlSICjfm, 26_lag_32_median_scpPSLjfm, 32_lag_naoPSLjfm, 28_lag_nhSICsep_418_26"
LRforcedPSO_75percent,22,6,amo1,shigh,888.5,2005.5,0.8,37,27,27,13.949761096149489,0.33705571252524796,418,False,"['27_lag_31_median_nhSICsep', '35_lag_eurPSLjfm', '36_lag_stratZ50ndj01', '27_lag_31_median_atlSICjfm', '32_lag_AMOCann', '27_lag_31_median_stratZ50ndj01']","[1.8268311530409957, 0.4933843754993326, 0.45670780630810026, 0.5364976154141651, 0.4567078134984158, 0.45670781644173714]","27_lag_31_median_nhSICsep, 35_lag_eurPSLjfm, 36_lag_stratZ50ndj01, 27_lag_31_median_atlSICjfm, 32_lag_AMOCann, 27_lag_31_median_stratZ50ndj01_418_27"
LRforcedPSO_75percent,23,6,amo1,shigh,889.5,2005.5,0.8,38,28,28,14.615673237676244,0.2606406115813498,418,False,"['28_lag_30_median_amo3', '33_lag_amo3', '34_lag_atlSICjfm', '28_lag_30_median_stratZ50ndj02', '28_lag_33_median_shSICsep', '33_lag_shSICmar']","[1.3234645619500713, 0.6880455381804758, 0.7134933917837614, 0.3308661441381652, 0.3308661456359189, 1.323464576445015]","28_lag_30_median_amo3, 33_lag_amo3, 34_lag_atlSICjfm, 28_lag_30_median_stratZ50ndj02, 28_lag_33_median_shSICsep, 33_lag_shSICmar_418_28"
LRforcedPSO_75percent,24,6,amo1,shigh,890.5,2005.5,0.8,39,29,29,13.158815021650806,0.5139106967270264,418,False,"['30_lag_atlSICjfm', '29_lag_37_median_amoSSTjfm', '29_lag_35_median_stratZ50ndj03', '32_lag_nhSICsep', '29_lag_30_median_amo2', '29_lag_32_median_stratZ50ndj02']","[0.3951902177343922, 1.1096856747226616, 0.7980713187708713, 0.537612184443024, 1.0311944789418441, 0.37916074529781]","30_lag_atlSICjfm, 29_lag_37_median_amoSSTjfm, 29_lag_35_median_stratZ50ndj03, 32_lag_nhSICsep, 29_lag_30_median_amo2, 29_lag_32_median_stratZ50ndj02_418_29"
LRforcedPSO_75percent,25,6,amo1,shigh,891.5,2005.5,0.8,40,30,30,13.720799025048235,0.46243784027322443,418,False,"['30_lag_39_median_nhSICsep', '37_lag_eurPSLjfm', '39_lag_amo2', '30_lag_34_median_amo2', '30_lag_31_median_AMOCann', '30_lag_36_median_nhSICjfm']","[1.4226427285911758, 0.3556606833602617, 0.6975936158985336, 0.4621662276212131, 0.6492368076854836, 0.9684626295992685]","30_lag_39_median_nhSICsep, 37_lag_eurPSLjfm, 39_lag_amo2, 30_lag_34_median_amo2, 30_lag_31_median_AMOCann, 30_lag_36_median_nhSICjfm_418_30"
LRforcedPSO_75percent,26,6,amo1,shigh,892.5,2005.5,0.8,41,31,31,14.35864917130473,0.2619414376313866,418,False,"['32_lag_shSICsep', '33_lag_scpPSLjfm', '31_lag_36_median_amo3', '34_lag_amo2', '31_lag_eapPSLjfm', '31_lag_38_median_stratZ50ndj03']","[0.5547029670789517, 0.22976030322678415, 0.919041212906297, 0.22976030322761298, 0.9190412129068976, 0.7054057193497633]","32_lag_shSICsep, 33_lag_scpPSLjfm, 31_lag_36_median_amo3, 34_lag_amo2, 31_lag_eapPSLjfm, 31_lag_38_median_stratZ50ndj03_418_31"
LRforcedPSO_75percent,27,6,amo1,shigh,893.5,2005.5,0.8,42,32,32,13.406405655968122,0.43741909873855994,418,False,"['38_lag_atlSICsep', '37_lag_amo1', '32_lag_35_median_amoSSTjfm', '36_lag_amo2', '36_lag_atlSICjfm', '35_lag_atlSICsep']","[0.698643086292532, 1.5129690189006413, 0.43678925326099394, 0.8198336197193564, 0.41418244049126074, 0.6713652367486521]","38_lag_atlSICsep, 37_lag_amo1, 32_lag_35_median_amoSSTjfm, 36_lag_amo2, 36_lag_atlSICjfm, 35_lag_atlSICsep_418_32"
LRforcedPSO_75percent,28,6,amo1,shigh,894.5,2005.5,0.8,43,33,33,13.715572824673444,0.3453316591554896,418,False,"['33_lag_39_median_amo2', '33_lag_40_median_shSICsep', '33_lag_42_median_amoSSTmjjaso', '33_lag_38_median_stratZ50ndj04', '33_lag_37_median_naoPSLjfm', '39_lag_shSICmar']","[0.6745234933098774, 0.5493467423959089, 0.34634980477765553, 1.385399212263682, 0.3463498045328167, 1.1416978033741865]","33_lag_39_median_amo2, 33_lag_40_median_shSICsep, 33_lag_42_median_amoSSTmjjaso, 33_lag_38_median_stratZ50ndj04, 33_lag_37_median_naoPSLjfm, 39_lag_shSICmar_418_33"
LRforcedPSO_75percent,29,6,amo1,shigh,895.5,2005.5,0.8,44,34,34,14.093843228725053,0.29856003717162266,418,False,"['40_lag_atlSICjfm', '34_lag_42_median_stratZ50ndj03', '43_lag_eurPSLjfm', '40_lag_amo3', '38_lag_naoPSLjfm', '34_lag_stratZ50ndj02']","[0.5903084110477966, 0.4608250656541012, 0.48255238664526956, 1.06983504952838, 0.2674587623821405, 0.26745876238215033]","40_lag_atlSICjfm, 34_lag_42_median_stratZ50ndj03, 43_lag_eurPSLjfm, 40_lag_amo3, 38_lag_naoPSLjfm, 34_lag_stratZ50ndj02_418_34"
LRforcedPSO_75percent,30,6,amo1,shigh,896.5,2005.5,0.8,45,35,35,14.021815311080289,0.392659989499589,418,False,"['35_lag_41_median_stratZ50ndj02', '35_lag_eurPSLjfm', '35_lag_nppc2SSTjfm', '35_lag_42_median_eurPSLjfm', '36_lag_nhSICsep', '35_lag_36_median_nppc2SSTjfm']","[0.19577787198806137, 0.6857540526152208, 0.19577784248649308, 0.5138920212349662, 0.5904922497908754, 0.7831112920659259]","35_lag_41_median_stratZ50ndj02, 35_lag_eurPSLjfm, 35_lag_nppc2SSTjfm, 35_lag_42_median_eurPSLjfm, 36_lag_nhSICsep, 35_lag_36_median_nppc2SSTjfm_418_35"
LRforcedPSO_75percent,31,6,amo1,shigh,897.5,2005.5,0.8,46,36,36,13.589038753537036,0.13749650035355737,418,False,"['36_lag_39_median_amo3', '36_lag_40_median_eapPSLjfm', '36_lag_45_median_solFORC', '36_lag_37_median_atlSICsep', '38_lag_amoSSTjfm', '43_lag_nhSICjfm']","[0.37575367968195816, 0.37575367968113377, 1.1731440154503312, 0.37813559171060535, 1.5030147187234109, 0.37575367968099166]","36_lag_39_median_amo3, 36_lag_40_median_eapPSLjfm, 36_lag_45_median_solFORC, 36_lag_37_median_atlSICsep, 38_lag_amoSSTjfm, 43_lag_nhSICjfm_418_36"
LRforcedPSO_75percent,32,6,amo1,shigh,898.5,2005.5,0.8,47,37,37,13.738768110785157,0.39313001973690315,418,False,"['37_lag_42_median_atlSICjfm', '42_lag_stratZ50ndj03', '37_lag_39_median_nhSICsep', '39_lag_amoSSTmjjaso', '37_lag_stratZ50ndj03', '38_lag_amo1']","[0.30030252597719376, 0.3003025055984943, 0.8098977952338715, 0.3003030908866945, 0.30030257721861664, 1.201210012764577]","37_lag_42_median_atlSICjfm, 42_lag_stratZ50ndj03, 37_lag_39_median_nhSICsep, 39_lag_amoSSTmjjaso, 37_lag_stratZ50ndj03, 38_lag_amo1_418_37"
LRforcedPSO_75percent,33,6,amo1,shigh,899.5,2005.5,0.8,48,38,38,13.688678580368503,0.44417830100596684,418,False,"['38_lag_40_median_stratZ50ndj04', '38_lag_45_median_atlSICjfm', '38_lag_amo1', '38_lag_42_median_amo1', '38_lag_nhSICsep', '47_lag_shSICsep']","[0.32798782040071606, 0.28708763624781664, 1.1483505449856144, 0.690900840621669, 0.6537591088242307, 0.45076062688974056]","38_lag_40_median_stratZ50ndj04, 38_lag_45_median_atlSICjfm, 38_lag_amo1, 38_lag_42_median_amo1, 38_lag_nhSICsep, 47_lag_shSICsep_418_38"
LRforcedPSO_75percent,34,6,amo1,shigh,900.5,2005.5,0.8,49,39,39,14.04743063988596,0.2205775748942069,418,False,"['39_lag_41_median_nhSICsep', '39_lag_40_median_shSICsep', '39_lag_47_median_scpPSLjfm', '40_lag_stratZ50ndj03', '45_lag_nhSICjfm', '41_lag_amo2']","[0.323294012617296, 0.32329711829873964, 0.5415299031248549, 0.3266663888045273, 0.8127647447146188, 1.2931500175022015]","39_lag_41_median_nhSICsep, 39_lag_40_median_shSICsep, 39_lag_47_median_scpPSLjfm, 40_lag_stratZ50ndj03, 45_lag_nhSICjfm, 41_lag_amo2_418_39"
